Date,Value,USD_PM,bchain_10,lb_10
2016-09-11,621.65,1324.6,,
2016-09-12,609.67,1324.6,,
2016-09-13,610.92,1323.65,,
2016-09-14,608.82,1321.75,,
2016-09-15,610.38,1310.8,,
2016-09-16,609.11,1308.35,,
2016-09-17,607.04,1308.35,,
2016-09-18,611.58,1308.35,,
2016-09-19,610.19,1314.85,,
2016-09-20,608.66,1313.8,610.802,1315.91
2016-09-21,598.88,1326.1,608.5250000000001,1316.06
2016-09-22,597.42,1339.1,607.3000000000001,1317.51
2016-09-23,594.08,1338.65,605.6160000000001,1319.01
2016-09-24,603.88,1338.65,605.1220000000001,1320.7
2016-09-25,601.74,1338.65,604.258,1323.4850000000001
2016-09-26,598.98,1340.5,603.2450000000001,1326.7
2016-09-27,605.96,1327.0,603.1370000000001,1328.565
2016-09-28,605.67,1322.5,602.546,1329.98
2016-09-29,603.85,1318.1,601.912,1330.3049999999998
2016-09-30,609.39,1322.5,601.9850000000001,1331.175
2016-10-01,614.82,1322.5,603.5790000000001,1330.815
2016-10-02,612.98,1322.5,605.135,1329.155
2016-10-03,611.85,1313.3,606.912,1326.62
2016-10-04,609.62,1283.3,607.4860000000001,1321.0849999999998
2016-10-05,607.18,1269.4,608.0300000000001,1314.1599999999999
2016-10-06,612.08,1254.5,609.3400000000001,1305.56
2016-10-07,617.21,1258.75,610.4650000000001,1298.735
2016-10-08,614.74,1258.75,611.3720000000001,1292.36
2016-10-09,615.65,1258.75,612.552,1286.4249999999997
2016-10-10,617.54,1259.5,613.367,1280.1249999999998
2016-10-11,614.77,1253.45,613.3620000000001,1273.2199999999998
2016-10-12,635.01,1256.5,615.5650000000002,1266.62
2016-10-13,635.96,1261.05,617.9760000000001,1261.395
2016-10-14,634.02,1251.75,620.4160000000002,1258.24
2016-10-15,637.94,1251.75,623.4920000000002,1256.475
2016-10-16,641.42,1251.75,626.4260000000002,1256.2
2016-10-17,638.97,1254.8,628.6020000000002,1255.8049999999998
2016-10-18,636.29,1258.2,630.7570000000003,1255.75
2016-10-19,629.25,1269.05,632.1170000000003,1256.78
2016-10-20,627.72,1271.65,633.1350000000003,1257.995
2016-10-21,631.92,1266.05,634.8500000000004,1259.2549999999997
2016-10-22,655.48,1266.05,636.8970000000003,1260.2099999999996
2016-10-23,653.25,1266.05,638.6260000000003,1260.7099999999996
2016-10-24,651.39,1265.55,640.3630000000004,1262.0899999999997
2016-10-25,655.31,1269.4,642.1000000000004,1263.8549999999996
2016-10-26,651.45,1270.5,643.1030000000003,1265.7299999999996
2016-10-27,682.22,1266.25,647.4280000000003,1266.8749999999995
2016-10-28,687.68,1273.0,652.5670000000003,1268.3549999999996
2016-10-29,685.91,1273.0,658.2330000000004,1268.7499999999995
2016-10-30,698.0,1273.0,665.2610000000003,1268.8849999999998
2016-10-31,702.0,1272.0,672.2690000000003,1269.4799999999998
2016-11-01,697.01,1288.45,676.4220000000003,1271.7199999999998
2016-11-02,733.33,1303.75,684.4300000000003,1275.49
2016-11-03,686.17,1301.0,687.9080000000002,1279.035
2016-11-04,683.69,1302.8,690.7460000000003,1282.375
2016-11-05,704.79,1302.8,696.0800000000003,1285.605
2016-11-06,712.0,1302.8,699.0580000000002,1289.2599999999998
2016-11-07,709.96,1283.05,701.2860000000003,1290.2649999999999
2016-11-08,708.97,1282.35,703.5920000000003,1291.1999999999998
2016-11-09,720.93,1281.4,705.8850000000003,1292.0399999999997
2016-11-10,721.5,1267.5,707.8350000000003,1291.5899999999997
2016-11-11,715.45,1236.45,709.6790000000003,1286.3899999999999
2016-11-12,703.71,1236.45,706.7170000000003,1279.6599999999999
2016-11-13,702.28,1236.45,708.3280000000002,1273.205
2016-11-14,706.46,1213.6,710.6050000000002,1264.285
2016-11-15,710.91,1226.95,711.2170000000002,1256.7000000000003
2016-11-16,711.73,1229.2,711.1900000000002,1249.3400000000004
2016-11-17,736.96,1226.75,713.8900000000001,1243.7100000000005
2016-11-18,747.52,1211.0,717.7450000000001,1236.5750000000003
2016-11-19,748.98,1211.0,720.55,1229.5350000000003
2016-11-20,729.06,1211.0,721.3059999999999,1223.8850000000004
2016-11-21,738.53,1214.25,723.6139999999999,1221.6650000000004
2016-11-22,736.97,1212.25,726.9399999999999,1219.2450000000003
2016-11-23,741.63,1185.35,730.875,1214.1350000000002
2016-11-24,737.45,1186.1,733.9739999999999,1211.3850000000002
2016-11-25,735.64,1187.7,736.447,1207.4600000000003
2016-11-26,733.67,1187.7,738.641,1203.3100000000002
2016-11-27,727.96,1187.7,737.741,1199.4050000000002
2016-11-28,727.31,1187.0,735.7199999999999,1197.0050000000003
2016-11-29,732.71,1186.55,734.093,1194.5600000000002
2016-11-30,742.69,1178.1,735.4559999999999,1191.2700000000002
2016-12-01,742.05,1161.85,735.808,1186.0300000000002
2016-12-02,772.43,1173.5,739.354,1182.1550000000002
2016-12-03,764.33,1173.5,741.624,1180.9700000000003
2016-12-04,762.97,1173.5,744.176,1179.7100000000003
2016-12-05,754.63,1162.2,746.075,1177.1600000000003
2016-12-06,756.62,1172.5,748.37,1175.64
2016-12-07,758.99,1177.65,751.473,1174.635
2016-12-08,769.72,1171.05,755.714,1173.04
2016-12-09,770.02,1163.6,759.445,1170.7450000000001
2016-12-10,769.08,1163.6,762.0840000000001,1169.295
2016-12-11,777.0,1163.6,765.579,1169.47
2016-12-12,777.0,1156.1,766.036,1167.73
2016-12-13,777.99,1158.55,767.4019999999999,1166.2350000000001
2016-12-14,774.89,1162.25,768.5939999999999,1165.1100000000001
2016-12-15,776.75,1126.95,770.8059999999999,1161.585
2016-12-16,775.88,1131.6,772.732,1157.4950000000001
2016-12-17,788.7,1131.6,775.703,1152.89
2016-12-18,788.4,1131.6,777.5709999999999,1148.9450000000002
2016-12-19,788.67,1136.25,779.4359999999999,1146.2100000000003
2016-12-20,793.09,1125.7,781.8369999999999,1142.4200000000003
2016-12-21,824.21,1133.65,786.5579999999999,1139.4250000000002
2016-12-22,834.97,1131.35,792.3549999999999,1136.9500000000003
2016-12-23,901.31,1131.35,804.6869999999999,1134.2300000000002
2016-12-24,891.61,1131.35,816.3589999999998,1131.1400000000003
2016-12-25,892.6,1131.35,827.9439999999998,1131.5800000000004
2016-12-26,897.33,1131.35,840.0889999999999,1131.5550000000003
2016-12-27,930.37,1131.35,854.256,1131.5300000000002
2016-12-28,930.34,1134.6,868.45,1131.8300000000004
2016-12-29,963.38,1145.9,885.9209999999999,1132.7950000000003
2016-12-30,952.15,1145.9,901.8269999999999,1134.815
2016-12-31,958.12,1145.9,915.2179999999998,1136.0400000000002
2017-01-01,997.72,1145.9,931.4929999999998,1137.4950000000001
2017-01-02,1015.97,1145.9,942.9589999999998,1138.95
2017-01-03,1013.42,1151.0,955.1399999999998,1140.915
2017-01-04,1126.76,1164.25,978.5559999999998,1144.205
