,volatility,bol_upper,bol_lower,RSI,macd,value,jindex,lable,up,down,Date
0,32.909202546931745,700.5373162434103,606.5816837565899,87.83452989087918,5.354650532668346,702.0,50.0,0,,,2016-10-31
1,32.93894803910754,706.4314561500206,606.8875438499796,77.62340763380932,4.77186966803214,697.01,51.0,1,,,2016-11-01
2,33.34150935676023,720.4552237934171,602.6007762065832,88.89716419055424,6.33415793944846,733.33,52.0,0,,,2016-11-02
3,36.32796036311615,722.5763170630745,605.6946829369257,49.801614339784344,3.8171008529900057,686.17,53.0,0,,,2016-11-03
4,67.06373999649557,724.160624855891,608.6853751441092,48.456827272411665,1.7178106923891008,683.69,54.0,1,,,2016-11-04
5,67.08878095629441,728.4374946895266,610.7455053104736,59.595870272312915,1.4913222813317653,704.79,55.0,1,,,2016-11-05
6,69.7765746709717,733.0901236067308,613.3958763932695,62.88485564498306,1.5607162458812738,712.0,56.0,0,,,2016-11-06
7,70.00815843193887,736.2891843311498,617.5638156688505,61.19356559794821,1.2180552266389846,709.96,57.0,0,,,2016-11-07
8,69.72172074673134,737.5792711714686,624.2457288285317,60.2499074756347,0.6993213359965154,708.97,58.0,1,,,2016-11-08
9,56.66838388135732,739.2258989337929,631.9201010662073,67.51264717804642,0.9222661200291569,720.93,59.0,1,,,2016-11-09
10,23.703633467615987,739.8597181167727,640.2442818832276,67.84860677725956,0.8694083727408106,721.5,60.0,0,,,2016-11-10
11,22.540888557560386,741.3703905110461,644.7306094889542,59.95203762736182,0.221999340441986,715.45,61.0,0,,,2016-11-11
12,16.12832108092672,740.4651331959469,650.6818668040535,47.16867395844667,-1.1277531561884153,703.71,62.0,0,,,2016-11-12
13,19.30225318880022,738.2168765927299,658.0191234072706,45.743016523804805,-2.1864341818501956,702.28,63.0,1,,,2016-11-13
14,19.28726120822253,735.7350136731661,665.6159863268344,50.94388810235989,-2.6441790199599886,706.46,64.0,1,,,2016-11-14
15,20.07377171308194,730.6694846415606,676.6275153584398,56.29579648901489,-2.6780155688998875,710.91,65.0,1,,,2016-11-15
16,15.430870870196319,730.474566384198,679.7734336158024,57.3252844430259,-2.669935227318426,711.73,66.0,1,,,2016-11-16
17,15.477583329167333,735.1599709850257,680.016029014975,77.17595834285841,-1.0721312794364124,736.96,67.0,1,,,2016-11-17
18,29.402382402364847,741.4448131482421,679.8921868517585,81.49850231024712,0.5045595794671911,747.52,68.0,1,,,2016-11-18
19,23.243370169104036,747.6071477882354,678.8278522117653,82.06212446766553,1.4034736889616006,748.98,69.0,0,,,2016-11-19
20,22.12769957834004,749.2166533073876,679.924346692613,54.753040298397984,0.4628274467868003,729.06,70.0,1,,,2016-11-20
21,35.07065519805677,751.8069057285874,681.4860942714132,61.97249091035816,0.29303690698058915,738.53,71.0,0,,,2016-11-21
22,35.50384217333048,752.3680938496562,681.2889061503444,60.07760433611491,-0.08927223417055075,736.97,72.0,1,,,2016-11-22
23,35.86928171709964,753.7678397366344,685.435160263366,64.02104553504,-0.18759330213465475,741.63,73.0,0,,,2016-11-23
24,26.2994345209017,753.0177283739098,691.5612716260906,57.868272386886154,-0.666482579804196,737.45,74.0,0,,,2016-11-24
25,23.944751614427506,753.9834089886303,693.6805910113699,55.11589160295909,-1.206033559360538,735.64,75.0,0,,,2016-11-25
26,23.67727485542879,754.844909934025,694.9860900659753,51.89230138533946,-1.7627839963065455,733.67,76.0,0,,,2016-11-26
27,12.315280140001486,754.9642560454985,696.6667439545016,43.1203469598708,-2.535789263420149,727.96,77.0,0,,,2016-11-27
28,8.392820946619173,754.8390642688628,698.6259357311374,42.14710751046133,-3.0751196995117365,727.31,78.0,1,,,2016-11-28
29,8.463068183692728,755.4107073757867,699.2322926242133,52.773480326511226,-3.0466089999664785,732.71,79.0,1,,,2016-11-29
30,9.140358279658903,757.1033535943717,699.6586464056285,66.44317606355253,-2.3644523170353047,742.69,80.0,0,,,2016-11-30
31,13.609394095560786,758.3784755777393,701.0435244222607,64.9954495208678,-1.9807173001081342,742.05,81.0,1,,,2016-12-01
32,13.395728301572172,764.8388280318543,701.4551719681456,84.38100560404433,0.1799951612854933,772.43,82.0,0,,,2016-12-02
33,29.889730483310263,767.3909755430915,705.1080244569083,71.68019519292065,0.8851005923770146,764.33,83.0,0,,,2016-12-03
34,30.847883118993646,769.1278178379507,709.0221821620491,69.57037136130778,1.0690106756838418,762.97,84.0,0,,,2016-12-04
35,31.011789596305807,769.0781823878965,713.4438176121032,57.184332021419905,0.4687209567513033,754.63,85.0,1,,,2016-12-05
36,33.8545582301715,768.5336501314114,718.4773498685886,59.26108964782374,0.0665463306115992,756.62,86.0,1,,,2016-12-06
37,33.04691230487034,770.3157596744963,718.8982403255034,61.90204620024645,-0.16627189532616882,758.99,87.0,1,,,2016-12-07
38,32.87779726037898,773.6534880398568,717.7805119601429,71.82512546649119,0.2531585423199605,769.72,88.0,1,,,2016-12-08
